pointcloud_copped_1.ply: - mesh: 25 .ply files, mesh_cloud_color_green: 10 .ply files
pointcloud_copped_2.ply: - mesh: 29 .ply files, mesh_cloud_color_green: 17 .ply files
pointcloud_copped_3.ply: - mesh: 31 .ply files, mesh_cloud_color_green: 17 .ply files
pointcloud_copped_4.ply: - mesh: 32 .ply files, mesh_cloud_color_green: 15 .ply files
pointcloud_copped_5.ply: - mesh: 31 .ply files, mesh_cloud_color_green: 17 .ply files
pointcloud_copped_6.ply: - mesh: 21 .ply files, mesh_cloud_color_green: 12 .ply files
pointcloud_copped_7.ply: - mesh: 28 .ply files, mesh_cloud_color_green: 14 .ply files
pointcloud_copped_8.ply: - mesh: 30 .ply files, mesh_cloud_color_green: 15 .ply files
pointcloud_copped_9.ply: - mesh: 22 .ply files, mesh_cloud_color_green: 11 .ply files
pointcloud_copped_10.ply: - mesh: 27 .ply files, mesh_cloud_color_green: 13 .ply files
pointcloud_copped_11.ply: - mesh: 29 .ply files, mesh_cloud_color_green: 13 .ply files
pointcloud_copped_12.ply: - mesh: 27 .ply files, mesh_cloud_color_green: 14 .ply files
pointcloud_copped_13.ply: - mesh: 24 .ply files, mesh_cloud_color_green: 9 .ply files
pointcloud_copped_14.ply: - mesh: 24 .ply files, mesh_cloud_color_green: 13 .ply files
pointcloud_copped_15.ply: - mesh: 26 .ply files, mesh_cloud_color_green: 10 .ply files
pointcloud_copped_16.ply: - mesh: 28 .ply files, mesh_cloud_color_green: 15 .ply files
pointcloud_copped_17.ply: - mesh: 24 .ply files, mesh_cloud_color_green: 15 .ply files
pointcloud_copped_18.ply: - mesh: 26 .ply files, mesh_cloud_color_green: 15 .ply files
pointcloud_copped_19.ply: - mesh: 27 .ply files, mesh_cloud_color_green: 15 .ply files
pointcloud_copped_20.ply: - mesh: 28 .ply files, mesh_cloud_color_green: 14 .ply files
pointcloud_copped_21.ply: - mesh: 30 .ply files, mesh_cloud_color_green: 14 .ply files
pointcloud_copped_22.ply: - mesh: 31 .ply files, mesh_cloud_color_green: 14 .ply files
